label,text
1102,Positive Airway Pressure for the Treatment of the Obstructive Sleep Apnea Syndrome in Children With Down Syndrome (Stage 2)
1117,Understanding and Developing a Network-based Social Support Intervention to Improve Retention in HIV Care and Antiretroviral Therapy Adherence for Adolescents Living With HIV
11,An Internet-Delivered Mind-Body Program for Reducing Prenatal Maternal Stress
1102,"A Phase 1/2 Study of MPH966, an Oral Neutrophil Elastase Inhibitor, for Prevention of Graft-versus-host Disease After Allogeneic Hematopoietic Stem Cell Transplantation"
1102,Vertebrobasilar Flow Evaluation and Risk of Transient Ischemic Attack and Stroke II (VERiTASII)
1117,Genetic and Neural Factors in Alcohol-Related Cognition
1117,Engaging Social Support to Prevent Problem Drinking and Posttraumatic Stress After Sexual Assault: Developing and Testing a Web-Based Intervention
1117,Incidence of Human Immunodeficiency Virus (HIV) Among Indian Men Who Have Sex With Men (MSM)
1117,A Multilevel Intervention (Potlako+) to Improve Timely Cancer Detection and Treatment
1117,"Phase 3B, Randomized, Open-Label, Safety, and Drug Detection Study of Dapivirine Vaginal Ring and Oral TRUVADA® in Breastfeeding Mother-Infant Pairs"
11,"Duloxetine to Prevent Oxaliplatin-Induced Chemotherapy-Induced Peripheral Neuropathy: A Randomized, Double-Blind, Placebo-Controlled Phase II to Phase III Study"
11,Randomized Phase III Trial Incorporating Abiraterone Acetate With Prednisone and Apalutamide and Advanced Imaging Into Salvage Treatment for Patients With Node-Positive Prostate Cancer After Radical Prostatectomy
11,Novel Multi-Parameter Mapping and Analysis Techniques for Characterization and Treatment Assessment of High Grade Brain Lesions
11,Behavioral Pharmacology of THC and Alpha-pinene
1102,"A Phase II Study of Venetoclax in Combination With Azacitidine in the Post-Transplant Setting for AML, T Cell ALL, and Mixed Phenotype Acute Leukemia"
1117,Behavioral Pharmacology of Cannabis and Nicotine
1117,Understanding and Testing Recovery Processes for PTSD and Alcohol Use Following Sexual Assault
1117,"A Phase 1a, Double-Blind, Randomized, Placebo-Controlled Single Ascending Dose Study to Evaluate the Safety, Tolerability and Pharmacokinetic Profile of MW151 Administered Orally to Healthy Volunteers"
1109,Progressive Abduction Loading Therapy: A Phase IIb Stroke Rehabilitation Trial With Longitudinal Tracking
1102,Blood Pressure After Endovascular Stroke Therapy-II: A Randomized Trial
604,Linking Endotypes and Outcomes in Pediatric Acute Respiratory Distress Syndrome
1117,"Telemedicine for Reach, Education, Access and Treatment-ongoing"
11,Endometrial Biopsy Biomarkers for Prediction of IVF Outcomes
11,"A Phase II/III Randomized, Open-Label Study of Toca 511, A Retroviral Replicating Vector, Combined With Toca FC With Temozolomide and Radiation Followed by Adjuvant Temozolomide and Toca FC Compared to Temozolomide and Radiation Followed by Adjuvant Temozolomide in Patients With Newly Diagnosed Glioblastoma"
1117,Reducing Particulate Matter-associated Cardiovascular Health Effects for Seniors
1117,A Dyadic Approach for a Remote Physical Activity Intervention in Adults With AD and Their Caregivers
1117,Efficacy of Metacognitive-Strategy Training to Improve Activity Performance and Reduce Motor Impairment in Sub-Acute Stroke
1117,Metformin in Alzheimer's Dementia Prevention
1113,Steroids and Cross-linking for Ulcer Treatment
11,A Phase I/Ib Dose Escalation Study of Pegylated Liposomal Doxorubicin (PLD) With M3814 in Ovarian Cancer With Planned Expansions in High Grade Serous (HGSOC) and Low Grade Serous Ovarian Cancer (LGSOC)
1117,Improving Preschool Outcomes by Addressing Maternal Depression in Head Start
1117,Systems Analysis and Improvement Approach to Optimize the Hypertension Diagnosis and Care Cascade for HIV-infected Individuals
1117,Understanding the Real-World Impact of the Use of Three Alternate Nicotine-Delivery Products on Combustible Cigarette Use
1102,Sickle Cell Disease and CardiovAscular Risk - Red Cell Exchange Trial (SCD-CARRE)
1117,Effects of THC on Retention of Memory for Fear Extinction Learning in PTSD: R33 Study
1111,Diet-induced Modification of Sweet Taste Perception and Preference
11,A Phase 2 Study of XL184 (Cabozantinib) in Combination With Nivolumab and Ipilimumab for the Treatment of Poorly Differentiated Neuroendocrine Carcinomas
11,Transduction of Psychological Stress Into Systematic Inflammation by Mitochondrial DNA Signaling
1117,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence"
1102,A Mobile Relational Agent to Enhance Atrial Fibrillation Self-care
1117,Kentucky Women's Justice Community Opioid Innovation Network
1109,A Pharmacogenetic Human Laboratory Investigation of Brexpiprazole in Alcohol Use Disorder
11,"A Single-Institution, Single-Arm, Self-Controlled Trial Evaluating Perforator Phase Contrast Angiography (pPCA) as the Primary Preoperative Imaging Technique in Post-Mastectomy Breast Reconstruction Using Abdominal-Based Free Flaps"
1109,Feasibility of Navigated Transcranial Magnetic Stimulation (nTMS) of Patients Treated With Stereotactic Radiosurgery for Brain Metastases in the Motor Cortex: A Comprehensive Cross-Sectional Assessment
11,Phase II Study of 5-Azacytidine (AZA) + Venetoclax as Maintenance Therapy in Patients With High Risk AML in Remission
1109,Mapping the Influence of Drugs of Abuse on Risk and Reward Circuits - MDMA
1117,Pilot Study of a Decision Aid Intervention for Family-building After Cancer
1117,PrEP and dPEP: Doxycycline Post-exposure Prophylaxis for Prevention of Sexually Transmitted Infections Among Kenyan Women Using HIV Pre-exposure Prophylaxis
1117,The Promotion of Physical Activity for the Prevention of Alzheimer's Disease in Adults With Down Syndrome
1102,"A Combination of Cladribine, Idarubicin, Cytarabine (CLIA) and Quizartinib for the Treatment of Patients With Newly Diagnosed or Relapsed/Refractory Acute Myeloid Leukemia (AML) and High-Risk Myelodysplastic Syndrome (MDS))"
11,Measuring and Improving Medication Adherence by Early Phase Participants
1117,Promoting the Implementation of Clinical Guidelines for Opioid Prescribing in Primary Care Using Systems Consultation
